GRP,counter,TOWN,LOCATION
01,02067002,CAMPTON,I-93 AT CROSSOVER AT MILEPOST 81.4 BETWEEN EXITS 26-27 (SB-NB) (01067004-01067003)
01,02197090,HAMPTON,I-95 AT HAMPTON TOLL EXIT 2 (SB-NB) (01197101-01197100)
01,02265092,LITTLETON,I-93 AT CROSSOVER AT MILEPOST 131.6 BETWEEN EXIT 44-VT SL (SB-NB) (01265090-01265091)
01,02409003,SEABROOK,I-95 AT CROSSOVER AT MILEPOST 0.1 BETWEEN SL AND EXIT 1 (SB-NB) (01409002-01409001)
01,02439005,SUTTON,I-89 AT CROSSOVER AT MILEPOST 20.4 BETWEEN EXITS 9-10 (SB-NB) (01439001-01439002)
01,02451001,TILTON,I-93 AT CROSSOVER AT MILEPOST 56.0 BETWEEN EXITS 19-20 (SB-NB) (01451002-01451003)
02,82015056,ANDOVER,US 4/NH 11 (MAIN ST) WEST OF DEPOT ST (EB-WB) (81015015-81015016)
02,02087021,CHESTERFIELD,NH 9 (FRANKLIN PIERCE HWY) 9\10 OF A MILE EAST OF VT SL (EB-WB) (01087066-01087067)
02,02089002,CHICHESTER,US 4/US 202/NH 9 EAST OF MAIN ST (EB-WB) (01089003-01089004)
02,02217001,HILLSBOROUGH,NH 9/NH 31 WEST OF NH 31 NORTH (EB-WB) (01217002-01217003)
02,02277021,LYME,NH 10 (ORFORD RD) NORTH OF NO. THETFORD RD (SB-NB) (01277022-01277023)
02,02347001,NORTHUMBERLAND,US 3 (STRATFORD RD) SOUTH OF BALL RD SOUTH INTERSECTION (SB-NB) (01347002-01347003)
02,02349001,NORTHWOOD,US 4 (FIRST NH TPK) AT NOTTINGHAM TL (EB-WB) (01349002-01349003)
02,02395021,RUMNEY,NH 25 (MT MOOSILAUKE HWY) WEST OF POLAR CAVES (SB-NB) (01395022-01395023)
02,62463050,WARNER,NH 114 (BRADFORD RD) EAST OF MINK HILL RD (SB-NB) (61463007-61463008)
03,02037090,BEDFORD,FEET AT BEDFORD TOLL (SB-NB) (01037101-01037100)
03,02071090,CANDIA,NH 101 AT CROSSOVER AT MILEPOST 106.7 BETWEEN EXITS 3-4 (EB-WB) (01071002-01071003)
03,02099091,CONCORD,I-93 AT CROSSOVER AT MILEPOST 41.3 BETWEEN EXITS 16-17 (SB-NB) (01099009-01099008)
03,02099092,CONCORD,I-93 AT MILEPOST 36.5 BETWEEN EXITS 12-13 (SB-NB) (01099012-01099011)
03,02099103,CONCORD,I-393/US 4/US 202 AT MERRIMACK RIVER BETWEEN EXITS 1-2 (EB-WB) (01099101-01099102)
03,02125090,DOVER,SPAULDING TPK (SB-NB) AT DOVER TOLL BETWEEN EXITS 6 - 7 (01125201-01125200)
03,02153001,EXETER,NH 101 AT MILEPOST 127.4 BETWEEN EXITS 11-12 (EB-WB) (01153150 - 01153151)
03,02225091,HOOKSETT,I-93/FEET AT HOOKSETT TOLL EXIT 11 (SB-NB) (01225101-01225100)
03,02227001,HOPKINTON,I-89 AT CROSSOVER AT MILEPOST 6.2 BETWEEN EXITS 3-4 (SB-NB) (01227003-01227002)
03,02253090,LEBANON,I-89 AT CROSSOVER SOUTH OF VERMONT SL (SB-NB) (01253001-01253002)
03,02285092,MANCHESTER,I-93 AT CROSSOVER AT MILEPOST 24.5 BETWEEN EXITS 9-10 (SB-NB) (01285009-01285010)
03,62315281,NASHUA,FEET AT MILEPOST 5.6 NB BETWEEN EXITS 5-6 (SB-NB) (61315064-61315065)
03,02331001,NEWINGTON,SPAULDING TPK AT MILEPOST 3.7 NB BETWEEN EXITS 4 & 5 (SB-NB) (01331002-01331003)
03,02389090,ROCHESTER,SPAULDING TPK AT ROCHESTER TOLL BETWEEN EXITS 9-11 (SB-NB) (01389101-01389100)
03,02399090,SALEM,I-93 AT MILEPOST 0.1 NB BETWEEN SL AND EXIT 1 (SB-NB) (01399002-01399001)
03,02489002,WINDHAM,I-93 AT CROSSOVER AT MILEPOST 9.1 BETWEEN EXITS 3-4 (SB-NB) (01489004-01489003)
04,02051003,BOW,NH 3A SOUTH OF ROBINSON RD (SB-NB) (01051004-01051005)
04,02089001,CHICHESTER,NH 28 (SUNCOOK VALLEY RD) NORTH OF BEAR HILL RD (SB-NB) (01089057-01089058)
04,02091001,CLAREMONT,NH 12/NH 103 EAST OF VERMONT SL (SB-NB) (01091002-01091003)
04,62099056,CONCORD,NH 106 (SHEEP DAVIS RD) NORTH OF AUTUMN DR (SB-NB) (61099314-61099315)
04,72099278,CONCORD,US 3 (FISHERVILLE RD) NORTH OF SEWALLS FALLS RD (SB-NB) (71099298-71099299)
04,02125001,DOVER,DOVER POINT RD SOUTH OF MIDDLEBROOK RD (SB-NB) (01125002-01125003)
04,02133021,DURHAM,US 4 EAST OF NH 108 (EB-WB) (01133019-01133020)
04,82197076,HAMPTON,US 1 (LAFAYETTE RD) SOUTH OF ROAD SPLIT TO NH 101 (SB-NB) (81197077-81197078)
04,02229022,HUDSON,CIRCUMFERENCE RD EAST OF NASHUA TL (SAGAMORE BRIDGE) (EB-WB) (01229101-01299102)
04,02253025,LEBANON,NH 120 1 MILE SOUTH OF HANOVER TL (SB-NB) (01253114-01253115)
04,02255001,LEE,NH 125 (CALEF HWY) NORTH OF PINKHAM RD (SB-NB) (01255002-01255003)
04,02287001,MARLBOROUGH,NH 12 (MONADNOCK HWY) AT SWANZEY TL (SB-NB) (01287006-01287007)
04,02297001,MERRIMACK,US 3 (DANIEL WEBSTER HWY) NORTH OF HILTON DR (SB-NB) (01297004-01297005)
04,02303001,MILFORD,NH 101A (MILFORD RD) WEST OF OVERLOOK DR (EB-WB) (01303002-01303003)
04,02315051,NASHUA,NH 111 (FERRY ST) IN THE MEDIAN EAST OF MERRIMACK RIVER (EB-WB) (01315039-01315038)
04,02339001,NEWPORT,NH 10 (DARTMOUTH COLLEGE HWY) NORTH OF CORBIN RD (SB-NB) (01339002-01339003)
04,02345001,NORTH HAMPTON,US 1 (LAFAYETTE RD) NORTH OF NORTH RD (SB-NB) (01345005-01345006)
04,62387052,RINDGE,US 202 NORTH OF OLD JAFFREY RD (EB-WB) (61387063-61387064)
04,02445001,TEMPLE,NH 101 WEST OF OLD COUNTY FARM RD (EB-WB) (01445002-01445003)
04,02489001,WINDHAM,NH 28 SOUTH OF LIBBEY RD NORTH INTERSECTION (SB-NB) (01489005-01489006)
05,02011001,ALTON,NH 11 (MOUNT MAJOR HWY) SOUTH OF LOON COVE (EB-WB) (01011002-01011003)
05,22039022,BELMONT,US 3/NH 11 (DANIEL WEBSTER HWY) WEST OF UNION RD (SB-NB) (21039023-21039024)
05,02169053,GILFORD,US 3/NH 11 (LACONIA BY-PASS) 1.2 MILES NORTH OF NH 11A (SB-NB) (01169085-01169086)
05,02235001,JEFFERSON,US 2 (PRESIDENTIAL HWY) 0.7 MILES WEST OF RANDOLPH TL (EB-WB) (01235002-01235003)
05,02259090,LINCOLN,I-93 AT CROSSOVER AT MILEPOST 103.1 BETWEEN EXIT 33 & 34A (SB-NB) (01259002-01259003)
05,02295022,MEREDITH,NH 104 WEST OF CHASE RD (EB-WB) (01295003-01295004)
05,02357021,OSSIPEE,NH 16 (WHITE MT HWY) SOUTH OF PINE RIVER RD (SB-NB) (01357020-01357022)
05,02443001,TAMWORTH,NH 25/NH 113 (BEARCAMP HWY) EAST OF LORDS HILL RD (EB-WB) (01443002-01443003)
05,62493054,WOLFEBORO,NH 28 SOUTH OF DREW HILL RD (SB-NB) (61493068-61493069)
06,02029001,BARTLETT,US 302 2 MILES EAST OF HARTS LOCATION TL (EB-WB) (01029002-01029003)
