FID,GDS_NAME,STATION,AREA,PERIMETER,COUNTERS_,COUNTERS_I,COUNTER,TYPE,COMBNUMS,Group,TYPE_1,Cycle,CNTRNUM,Town,Location
0,CNTR:427050,427050,0,0,3377,3377,82427050,82,"82427050: 81427029, 81427028",0, ,0,82427050.000000000000000,,
1,CNTR:025086,025086,0,0,3592,3592,82025086,82,82025086,2014,L4,1,82025086.000000000000000,BARNSTEAD,GRAY RD OVER CROOKED RUN BROOK
2,CNTR:025011,025011,0,0,3593,3593,82025011,82,82025011,0, ,0,82025011.000000000000000,BARNSTEAD, 
3,CNTR:025081,025081,0,0,3594,3594,82025081,82,82025081,2014,L4,1,82025081.000000000000000,BARNSTEAD,NH 126 (SOUTH BARNSTEAD RD) SOUTH OF DEPOT ROAD
4,CNTR:025079,025079,0,0,3595,3595,82025079,82,82025079,0, ,0,82025079.000000000000000,BARNSTEAD, 
5,CNTR:025078,025078,0,0,3596,3596,62025078,62,"62025078: 61025091, 61025092",2015,L5,2,62025078.000000000000000,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SB-NB AT PITTSFIELD TL
6,CNTR:025051,025051,0,0,3597,3597,62025051,62,62025051,2015,L4,2,62025051.000000000000000,BARNSTEAD,NH 107 (PITTSFIELD RD) AT PITTSFIELD TL
7,CNTR:025082,025082,0,0,3598,3598,82025082,82,82025082,2014,L4,1,82025082.000000000000000,BARNSTEAD,GARLAND RD OVER NH 28
8,CNTR:025083,025083,0,0,3599,3599,82025083,82,82025083,2014,L4,1,82025083.000000000000000,BARNSTEAD,PARADE HILL RD OVER SUNCOOK RIVER
9,CNTR:025080,025080,0,0,3600,3600,82025080,82,82025080,0, ,0,82025080.000000000000000,BARNSTEAD, 
10,CNTR:163052,163052,0,0,3645,3645,62163052,62,62163052,2015,L4,2,62163052.000000000000000,FRANKLIN,US 3 (DANIEL WEBSTER HWY) AT BOSCAWEN TL
11,CNTR:171054,171054,0,0,3646,3646,82171054,82,82171054,2013,L6,3,82171054.000000000000000,GILMANTON,NH 129 (OLD STAGE RD) AT LOUDON TL
12,CNTR:271051,271051,0,0,3649,3649,62271051,62,62271051,0, ,0,62271051.000000000000000,,
13,CNTR:343044,343044,0,0,3654,3654,82343044,82,82343044,2015,L4,2,82343044.000000000000000,NORTHFIELD,SANDOGARDY POND RD SOUTH OF SHAW RD
14,CNTR:343064,343064,0,0,3655,3655,82343064,82,82343064,2013,L4,3,82343064.000000000000000,NORTHFIELD,OAK HILL RD SOUTH OF UNION RD
15,CNTR:343002:SB,343002,0,0,3656,3656,61343002,61,61343002,0, ,0,61343002.000000000000000,,
16,CNTR:343001:NB,343001,0,0,3657,3657,61343001,61,61343001,0, ,0,61343001.000000000000000,,
17,CNTR:343061,343061,0,0,3658,3658,81343061,81,81343061,0, ,0,81343061.000000000000000,,
18,CNTR:343065,343065,0,0,3659,3659,82343065,82,82343065,2013,L4,3,82343065.000000000000000,NORTHFIELD,NH 132 (CONCORD RD) NORTH OF AYERS RD
19,CNTR:401050,401050,0,0,3664,3664,62401050,62,62401050,0, ,0,62401050.000000000000000,,
20,CNTR:025050,025050,0,0,3672,3672,62025050,62,"62025050: 61025093, 61025094",2014,L5,1,62025050.000000000000000,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SB-NB AT ALON TL
21,CNTR:025084,025084,0,0,3673,3673,82025084,82,82025084,2014,L4,1,82025084.000000000000000,BARNSTEAD,NARROWS RD OVER SUNCOOK LAKE CHANNEL
22,CNTR:025022,025022,0,0,3674,3674,22025022,22,22025022,2015,L3,2,22025022.000000000000000,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SOUTH OF OXBOW RD (SB-NB) (21025089-21025090)
23,CNTR:025087,025087,0,0,3675,3675,82025087,82,82025087,2014,L4,1,82025087.000000000000000,BARNSTEAD,PEACHAM RD OVER WEBSTER STREAM
24,CNTR:025088,025088,0,0,3676,3676,82025088,82,82025088,2014,L6,1,82025088.000000000000000,BARNSTEAD,WALKER RD NORTH OF VARNEY RD
25,CNTR:025085,025085,0,0,3677,3677,82025085,82,82025085,2014,L4,1,82025085.000000000000000,BARNSTEAD,OXBOW RD OVER SUNCOOK RIVER
26,CNTR:025012,025012,0,0,3678,3678,82025012,82,82025012,0, ,0,82025012.000000000000000,BARNSTEAD, 
27,CNTR:171059,171059,0,0,3692,3692,82171059,82,82171059,2015,L4,2,82171059.000000000000000,GILMANTON,STAGE RD WEST OF BEAUTY HILL RD
28,CNTR:171053,171053,0,0,3693,3693,82171053,82,82171053,2015,L6,2,82171053.000000000000000,GILMANTON,NH 107 (PROVINCE RD) AT BARNSTEAD TL
29,CNTR:015059,015059,0,0,3732,3732,82015059,82,82015059,2014,L4,1,82015059.000000000000000,ANDOVER,CILLEYVILLE RD OVER BLACKWATER RIVER
30,CNTR:015056,015056,0,0,3733,3733,82015056,82,82015056,0, ,0,82015056.000000000000000,ANDOVER, 
31,CNTR:015011,015011,0,0,3734,3734,82015011,82,82015011,0, ,0,82015011.000000000000000,ANDOVER, 
32,CNTR:015051,015051,0,0,3735,3735,62015051,62,"62015051: 61015067, 61015068",2015,L5,2,62015051.000000000000000,ANDOVER,NH 11 (SUNAPEE LAKE RD) EB-WB AT WILMOT TL
33,CNTR:015012,015012,0,0,3736,3736,82015012,82,82015012,0, ,0,82015012.000000000000000,ANDOVER, 
34,CNTR:015058,015058,0,0,3737,3737,82015058,82,82015058,0, ,0,82015058.000000000000000,ANDOVER, 
35,CNTR:015060,015060,0,0,3738,3738,82015060,82,82015060,2014,L4,1,82015060.000000000000000,ANDOVER,LAWRENCE RD OVER BLACKWATER RIVER
36,CNTR:015061,015061,0,0,3739,3739,82015061,82,82015061,2014,L4,1,82015061.000000000000000,ANDOVER,BRADLEY LAKE RD OVER BRADLEY BROOK SOUTH OF LAWRENCE RD
37,CNTR:015062,015062,0,0,3740,3740,82015062,82,82015062,2014,L4,1,82015062.000000000000000,ANDOVER,HALL RD OVER BRADLEY BROOK
38,CNTR:015053,015053,0,0,3741,3741,82015053,82,82015053,2014,L4,1,82015053.000000000000000,ANDOVER,US 4 (BLUE STAR HWY) AT BLACKWATER RIVER BRIDGE NEAR BEECH HILL RD
39,CNTR:02:015001,015001,0,0,3759,3759,02015001,02,02015001,2014,L3,1,2015001.000000000000000,ANDOVER,US 4 & NH 11 (MASCOMA VALLEY RD) EAST OF NO SHORT ST (EB-WB) (01015002-010*
40,CNTR:039011,039011,0,0,3762,3762,82039011,82,82039011,2013,L4,3,82039011.000000000000000,BELMONT,NH 106 (LACONIA RD) AT GILMANTON TL
41,CNTR:039055,039055,0,0,3763,3763,82039055,82,82039055,2014,L6,1,82039055.000000000000000,BELMONT,SHAKER RD AT NORTHFIELD TL
42,CNTR:039012,039012,0,0,3764,3764,82039012,82,82039012,0, ,0,82039012.000000000000000,BELMONT, 
43,CNTR:163086:706,163086,0,0,3765,3765,82163086,82,82163086,2013,L4,3,82163086.000000000000000,FRANKLIN,NH 127 UNDER STATE OF NH RR WEST OF US 3
44,CNTR:163062:706,163062,0,0,3766,3766,82163062,82,82163062,2014,L4,1,82163062.000000000000000,FRANKLIN,US 3/NH 127 (SO. MAIN ST) SOUTH OF KENRICK FARM RD
45,CNTR:163066,163066,0,0,3767,3767,82163066,82,82163066,2014,L4,1,82163066.000000000000000,FRANKLIN,NORTH RD AT SALISBURY TL
46,CNTR:171052,171052,0,0,3768,3768,62171052,62,62171052,2013,L4,3,62171052.000000000000000,GILMANTON,NH 140 (GILMANTON RD EAST) AT ALTON TL
47,CNTR:171058,171058,0,0,3769,3769,82171058,82,82171058,0, ,0,82171058.000000000000000,GILMANTON, 
48,CNTR:171012,171012,0,0,3771,3771,82171012,82,82171012,0, ,0,82171012.000000000000000,GILMANTON, 
49,CNTR:171013,171013,0,0,3772,3772,82171013,82,82171013,0, ,0,82171013.000000000000000,GILMANTON, 
50,CNTR:171060,171060,0,0,3773,3773,82171060,82,82171060,2015,L4,2,82171060.000000000000000,GILMANTON,ELM ST OVER SUNCOOK RIVER
51,CNTR:171061,171061,0,0,3774,3774,82171061,82,82171061,2015,L4,2,82171061.000000000000000,GILMANTON,NH 140 OVER SUNCOOK RIVER
52,CNTR:171062,171062,0,0,3775,3775,82171062,82,82171062,2015,L4,2,82171062.000000000000000,GILMANTON,CRYSTAL LAKE RD OVER SUNCOOK RIVER
53,CNTR:171051,171051,0,0,3776,3776,82171051,82,82171051,2013,L4,3,82171051.000000000000000,GILMANTON,NH 107 (PROVINCE RD) SOUTH OF PRESCOTT RD
54,CNTR:171056,171056,0,0,3777,3777,82171056,82,82171056,2013,L4,3,82171056.000000000000000,GILMANTON,NH 140 WEST OF SAWTOOTH RD
55,CNTR:343068,343068,0,0,3784,3784,82343068,82,82343068,2015,L4,2,82343068.000000000000000,NORTHFIELD,KNOWLES POND RD OVER WHICHIER BROOK
56,CNTR:343069,343069,0,0,3785,3785,82343069,82,82343069,2015,L4,2,82343069.000000000000000,NORTHFIELD,SHAKER RD OVER WHICHIER BROOK
57,CNTR:343043,343043,0,0,3786,3786,82343043,82,82343043,2013,L4,3,82343043.000000000000000,NORTHFIELD,BEAN HILL RD WEST OF GIFFORD DR
58,CNTR:343042,343042,0,0,3787,3787,82343042,82,82343042,2013,L6,3,82343042.000000000000000,NORTHFIELD,NH 132 (HIGHLAND MT RD) NORTH OF MONTANA DR
59,CNTR:343067,343067,0,0,3788,3788,82343067,82,82343067,2015,L4,2,82343067.000000000000000,NORTHFIELD,FOREST RD OVER WILLIAMS BROOK
60,CNTR:343063,343063,0,0,3789,3789,82343063,82,82343063,0, ,0,82343063.000000000000000,NORTHFIELD, 
61,CNTR:343045,343045,0,0,3790,3790,82343045,82,82343045,2013,L4,3,82343045.000000000000000,NORTHFIELD,NH 132 (PARK ST) NORTH OF SUMMER ST
62,CNTR:343066,343066,0,0,3791,3791,82343066,82,82343066,2015,L4,2,82343066.000000000000000,NORTHFIELD,SARGENT ST OVER WILLIAMS BROOK
63,CNTR:343062,343062,0,0,3792,3792,82343062,82,82343062,0, ,0,82343062.000000000000000,NORTHFIELD, 
64,CNTR:401052,401052,0,0,3793,3793,62401052,62,62401052,0, ,0,62401052.000000000000000,,
65,CNTR:039053,039053,0,0,3795,3795,62039053,62,62039053,2014,L6,1,62039053.000000000000000,BELMONT,NH 140 (GILMANTON RD) AT GILMANTON TL
66,CNTR:039061,039061,0,0,3796,3796,82039061,82,"82039061: 81039013, 81039014",2014,L5,1,82039061.000000000000000,BELMONT,NH 140 (GILMANTON RD) EB-WB EAST OF NH 106
67,CNTR:039063,039063,0,0,3797,3797,82039063,82,82039063,2015,L4,2,82039063.000000000000000,BELMONT,CHURCH ST OVER TIOGA RIVER
68,CNTR:039054,039054,0,0,3798,3798,62039054,62,62039054,2013,L4,3,62039054.000000000000000,BELMONT,NH 140 (DEPOT ST) AT NORTHFIELD TL
69,CNTR:039060,039060,0,0,3799,3799,82039060,82,82039060,2015,L4,2,82039060.000000000000000,BELMONT,SOUTH RD OVER BELMONT RIVER
70,CNTR:015063,015063,0,0,3800,3800,82015063,82,82015063,2014,L4,1,82015063.000000000000000,ANDOVER,MORRILL HILL RD OVER BROOK
71,CNTR:015057,015057,0,0,3801,3801,82015057,82,82015057,2015,L4,2,82015057.000000000000000,ANDOVER,NH 11 (FRANKLIN HWY) AT BOSTON & MAINE RR BETWEEN WEST SHORE DRIVE AND SCH*
72,CNTR:015064,015064,0,0,3802,3802,82015064,82,82015064,2014,L4,1,82015064.000000000000000,ANDOVER,PLAINS RD SOUTH OF NH 11
