counter,date,time,date_time,total
61141010,2014-05-12,12:00:00 PM,2014-05-12T12:00:00Z,131
61141010,2014-05-12,1:00:00 PM,2014-05-12T13:00:00Z,158
61141010,2014-05-12,2:00:00 PM,2014-05-12T14:00:00Z,130
61141010,2014-05-12,3:00:00 PM,2014-05-12T15:00:00Z,170
61141010,2014-05-12,4:00:00 PM,2014-05-12T16:00:00Z,213
61141010,2014-05-12,5:00:00 PM,2014-05-12T17:00:00Z,155
61141010,2014-05-12,6:00:00 PM,2014-05-12T18:00:00Z,95
61141010,2014-05-12,7:00:00 PM,2014-05-12T19:00:00Z,86
61141010,2014-05-12,8:00:00 PM,2014-05-12T20:00:00Z,58
61141010,2014-05-12,9:00:00 PM,2014-05-12T21:00:00Z,32
61141010,2014-05-12,10:00:00 PM,2014-05-12T22:00:00Z,22
61141010,2014-05-12,11:00:00 PM,2014-05-12T23:00:00Z,15
61141010,2014-05-13,12:00:00 AM,2014-05-13T00:00:00Z,8
61141010,2014-05-13,1:00:00 AM,2014-05-13T01:00:00Z,8
61141010,2014-05-13,2:00:00 AM,2014-05-13T02:00:00Z,2
61141010,2014-05-13,3:00:00 AM,2014-05-13T03:00:00Z,4
61141010,2014-05-13,4:00:00 AM,2014-05-13T04:00:00Z,10
61141010,2014-05-13,5:00:00 AM,2014-05-13T05:00:00Z,20
61141010,2014-05-13,6:00:00 AM,2014-05-13T06:00:00Z,54
61141010,2014-05-13,7:00:00 AM,2014-05-13T07:00:00Z,98
61141010,2014-05-13,8:00:00 AM,2014-05-13T08:00:00Z,125
61141010,2014-05-13,9:00:00 AM,2014-05-13T09:00:00Z,127
61141010,2014-05-13,10:00:00 AM,2014-05-13T10:00:00Z,106
61141010,2014-05-13,11:00:00 AM,2014-05-13T11:00:00Z,122
61141010,2014-05-13,12:00:00 PM,2014-05-13T12:00:00Z,162
61141010,2014-05-13,1:00:00 PM,2014-05-13T13:00:00Z,128
61141010,2014-05-13,2:00:00 PM,2014-05-13T14:00:00Z,134
61141010,2014-05-13,3:00:00 PM,2014-05-13T15:00:00Z,157
61141010,2014-05-13,4:00:00 PM,2014-05-13T16:00:00Z,183
61141010,2014-05-13,5:00:00 PM,2014-05-13T17:00:00Z,153
61141010,2014-05-13,6:00:00 PM,2014-05-13T18:00:00Z,100
61141010,2014-05-13,7:00:00 PM,2014-05-13T19:00:00Z,90
61141010,2014-05-13,8:00:00 PM,2014-05-13T20:00:00Z,54
61141010,2014-05-13,9:00:00 PM,2014-05-13T21:00:00Z,38
61141010,2014-05-13,10:00:00 PM,2014-05-13T22:00:00Z,21
61141010,2014-05-13,11:00:00 PM,2014-05-13T23:00:00Z,22
61141010,2014-05-14,12:00:00 AM,2014-05-14T00:00:00Z,11
61141010,2014-05-14,1:00:00 AM,2014-05-14T01:00:00Z,3
61141010,2014-05-14,2:00:00 AM,2014-05-14T02:00:00Z,7
61141010,2014-05-14,3:00:00 AM,2014-05-14T03:00:00Z,2
61141010,2014-05-14,4:00:00 AM,2014-05-14T04:00:00Z,13
61141010,2014-05-14,5:00:00 AM,2014-05-14T05:00:00Z,23
61141010,2014-05-14,6:00:00 AM,2014-05-14T06:00:00Z,61
61141010,2014-05-14,7:00:00 AM,2014-05-14T07:00:00Z,105
61141010,2014-05-14,8:00:00 AM,2014-05-14T08:00:00Z,107
61141010,2014-05-14,9:00:00 AM,2014-05-14T09:00:00Z,105
61141010,2014-05-14,10:00:00 AM,2014-05-14T10:00:00Z,128
61141010,2014-05-14,11:00:00 AM,2014-05-14T11:00:00Z,122
61141010,2014-05-14,12:00:00 PM,2014-05-14T12:00:00Z,139
61141010,2014-05-14,1:00:00 PM,2014-05-14T13:00:00Z,158
61141010,2014-05-14,2:00:00 PM,2014-05-14T14:00:00Z,155
61141010,2014-05-14,3:00:00 PM,2014-05-14T15:00:00Z,186
61141010,2014-05-14,4:00:00 PM,2014-05-14T16:00:00Z,206
