GDSNAME,STATION,AREA,PERIMETER,COUNTERS,COUNTERSI,COUNTER,TYPE,Group,TYPE1,Cycle,CNTRNUM,Town,Location,OBJECTID1,UNIQUEID,SRI,MPSTART,MPEND,STREET,TOWNID,TOWNDOT,SECTLENGT,FUNCTSYST,FUNCTSY_1,URBANID,URBANNAME,TIER,TIERDESCR,LCLEGEND,LEGISCLAS,WINTERMAI,SUMMERMAI,OWNERSHIP,OWNERSHIP,HPMSOWNER,HPMSOWN_1,PLOWLEVEL,SURFTYPE,ROADWAYWI,NUMLANES,LANEWIDTH,SHLDRTYPE,SHLDRTY_1,SHLDRWIDT,SHLDRWI_1,DIRECTION,ISTOLL,ISNHS,NHS,NHSDESCR,ISTRK_ROU,COUNTYID,COUNTYNAM,EXECCOUNC,EXECCOU_1,COUNTERID,AADTCURR_,AADT,ROUTEHIOR,STREETALI,NODE1,NODE2,HPMSFACIL,HPMSFAC_1,HPMSTHRU_,COMBNUMS
CNTR:427050,427050,0,0,3377,3377,82427050,82,0,NA,0,82427050,NA,NA,0,18501,S0000126__,3.877,4.172,South Barnstead Rd,025,BARNSTEAD,0.295,6,Minor Collector,0,NA,3,Regional Corridors,State,II,602,602,602,DISTRICT 6,1,State Highway Agency,3,Paved,20,2,10,Unpaved,Unpaved,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82427050,2014,1200,NH 126,NH 126,0302,8109,2,Two-way roadway,2,82427050
CNTR:427050,427050,0,0,3377,3377,82427050,82,0,NA,0,82427050,NA,NA,0,18501,S0000126__,3.877,4.172,South Barnstead Rd,025,BARNSTEAD,0.295,6,Minor Collector,0,NA,3,Regional Corridors,State,II,602,602,602,DISTRICT 6,1,State Highway Agency,3,Paved,20,2,10,Unpaved,Unpaved,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82427050,2014,1200,NH 126,NH 126,0302,8109,2,Two-way roadway,2,81427029
CNTR:427050,427050,0,0,3377,3377,82427050,82,0,NA,0,82427050,NA,NA,0,18501,S0000126__,3.877,4.172,South Barnstead Rd,025,BARNSTEAD,0.295,6,Minor Collector,0,NA,3,Regional Corridors,State,II,602,602,602,DISTRICT 6,1,State Highway Agency,3,Paved,20,2,10,Unpaved,Unpaved,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82427050,2014,1200,NH 126,NH 126,0302,8109,2,Two-way roadway,2,81427028
CNTR:025086,025086,0,0,3592,3592,82025086,82,2014,L4,1,82025086,BARNSTEAD,GRAY RD OVER CROOKED RUN BROOK,0,40523,L0250094__,0,1.023,Gray Rd,025,BARNSTEAD,1.023,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Unpaved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025086,2014,170,NA,NA,0022,0025,2,Two-way roadway,2,82025086
CNTR:025011,025011,0,0,3593,3593,82025011,82,0,NA,0,82025011,BARNSTEAD,NA,0,24436,S0000028__,54.557,54.906,Suncook Valley Rd,025,BARNSTEAD,0.349,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,40,2,12,Paved,Paved,8,8,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,22025022,2014,8357,NH 28,NH 28,0051,0189,2,Two-way roadway,2,82025011
CNTR:025081,025081,0,0,3594,3594,82025081,82,2014,L4,1,82025081,BARNSTEAD,NH 126 (SOUTH BARNSTEAD RD) SOUTH OF DEPOT ROAD,0,17020,S0000126__,0.428,0.568,South Barnstead Rd,025,BARNSTEAD,0.14,6,Minor Collector,0,NA,3,Regional Corridors,State,II,602,602,602,DISTRICT 6,1,State Highway Agency,3,Paved,20,2,10,Unpaved,Unpaved,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025081,2014,2900,NH 126,NH 126,0058,0061,2,Two-way roadway,2,82025081
CNTR:025079,025079,0,0,3595,3595,82025079,82,0,NA,0,82025079,BARNSTEAD,NA,0,24233,L0250113__,0.694,2.027,Parade Rd,025,BARNSTEAD,1.333,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,0378,0052,2,Two-way roadway,2,82025079
CNTR:025078,025078,0,0,3596,3596,62025078,62,2015,L5,2,62025078,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SB-NB AT PITTSFIELD TL,0,40270,S0000028__,51.876,52.336,Suncook Valley Rd,025,BARNSTEAD,0.46,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,503,503,503,DISTRICT 5,1,State Highway Agency,2,Paved,44,2,12,Paved,Paved,10,10,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62025078,2014,10192,NH 28,NH 28,8143,0045,2,Two-way roadway,2,62025078
CNTR:025051,025051,0,0,3597,3597,62025051,62,2015,L4,2,62025051,BARNSTEAD,NH 107 (PITTSFIELD RD) AT PITTSFIELD TL,0,28462,S0000107__,49.227,49.818,Pittsfield Rd,025,BARNSTEAD,0.591,5,Major Collector,0,NA,3,Regional Corridors,State,II,316,316,316,DISTRICT 3,1,State Highway Agency,3,Paved,32,2,11,None,None,5,5,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62025051,2014,1389,NH 107,NH 107,8142,0064,2,Two-way roadway,2,62025051
CNTR:025082,025082,0,0,3598,3598,82025082,82,2014,L4,1,82025082,BARNSTEAD,GARLAND RD OVER NH 28,0,35750,S0000028__,52.942,53.264,Suncook Valley Rd,025,BARNSTEAD,0.322,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,503,503,503,DISTRICT 5,1,State Highway Agency,2,Paved,44,2,12,Paved,Paved,10,10,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62025078,2014,10192,NH 28,NH 28,0047,0049,2,Two-way roadway,2,82025082
